"id_ref"	"PC346c"	"VCaP"
"1"	"-0.84038"	"-0.22553"
"2"	"0"	"0.00001"
"3"	"0.324534"	"0.792484"
"4"	"2.42"	"2.28369"
"5"	"-1.01644"	"-0.0661791"
"6"	"0.238869"	"3.54683"
"7"	"2.6744"	"2.78211"
"8"	"-0.758323"	"0.874374"
"9"	"1.08187"	"1.85851"
"10"	"-0.225442"	"-0.171676"
"11"	"0.367085"	"-0.661327"
"12"	"-1.1885"	"-0.915731"
"13"	"0.156062"	"-0.89216"
"14"	"-0.98645"	"-0.657239"
"15"	"-1.90136"	"-1.11218"
"16"	"-0.414429"	"0.698846"
"17"	"-1.10316"	"-0.610642"
"18"	"0.13079"	"-0.855734"
"19"	"-0.935858"	"-0.0722608"
"20"	"-0.303001"	"0.0478718"
"21"	"-0.224178"	"-1.02245"
"22"	"-0.100856"	"-0.498587"
"23"	"18.4212"	"22.981"
"24"	"94.8219"	"51.7695"
"25"	"-1.73881"	"-0.371986"
"26"	"-0.846656"	"-1.39966"
"27"	"-1.25132"	"-0.701548"
"28"	"0.832885"	"0.355965"
"29"	"0.717953"	"6.12799"
"30"	"0.550721"	"0.462153"
