TRIAL_NAME	 SITE_ID 	SUBJECT_ID	SAMPLE_CD	PLATFORM 	TISSUE_TYPE 	ATTRIBUTE_1  	ATTRIBUTE_2	CATEGORY_CD	SOURCE_CD 
GSE37427	null	GSM918960	9CN	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918961	10CP	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918962	11PN	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918963	12PP	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918964	13PN	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918965	14PP	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918966	15CP	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918967	16CN	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918968	17PN	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
GSE37427	null	GSM918969	18PP	MET998	Human			Biomarker_Data+PLATFORM+ATTR1	STD
